,countries,cases,todays,deaths,recovered,active
0,World,"689,399,752","+3,351","6,883,596","661,821,638","20,694,518"
1,USA,"107,085,763",,"1,164,967","105,158,714","762,082"
2,India,"44,989,744",,"531,864","44,452,908","4,972"
3,France,"40,077,607",,"167,263","39,853,927","56,417"
4,Germany,"38,426,308",,"174,247","38,234,900","17,161"
5,Brazil,"37,579,028",,"702,664","36,249,161","627,203"
6,Japan,"33,803,572",,"74,694",N/A,N/A
7,S. Korea,"31,646,973",,"34,754","31,296,358","315,861"
8,Italy,"25,857,572",,"190,392","25,545,397","121,783"
9,UK,"24,603,076",,"225,324","24,363,967","13,785"
10,Russia,"22,917,873",,"398,919","22,346,830","172,124"
11,Turkey,"17,232,066",,"102,174",N/A,N/A
12,Spain,"13,868,227",,"121,213","13,697,426","49,588"
13,Vietnam,"11,609,878",+341,"43,206","10,637,523","929,149"
14,Australia,"11,585,286",,"20,879","11,526,959","37,448"
15,Taiwan,"10,239,998",,"19,005","10,220,993",0
16,Argentina,"10,054,251",,"130,509","9,922,301","1,441"
17,Netherlands,"8,610,372",,"22,992","8,587,380",0
18,Mexico,"7,614,771",,"334,107","6,861,981","418,683"
19,Iran,"7,611,665",+82,"146,255","7,365,752","99,658"
20,Indonesia,"6,806,288",+283,"161,739","6,631,118","13,431"
21,Poland,"6,516,744",+9,"119,609","5,335,940","1,061,195"
22,Colombia,"6,367,600",,"142,748","6,188,967","35,885"
23,Austria,"6,076,578",+134,"22,501","6,048,207","5,870"
24,Greece,"6,059,649",,"36,917","6,004,923","17,809"
25,Portugal,"5,585,859",,"26,701","5,554,918","4,240"
26,Ukraine,"5,549,708",,"112,315","5,426,042","11,351"
27,Chile,"5,287,288",,"64,497","5,222,581",210
28,Malaysia,"5,094,448",,"37,070","5,038,256","19,122"
29,Israel,"4,825,362",,"12,524","4,798,473","14,365"
30,Belgium,"4,799,107",,"34,336","4,759,089","5,682"
31,DPRK,"4,772,813",,74,"4,772,739",0
32,Thailand,"4,738,988",,"34,053","4,692,636","12,299"
33,Canada,"4,673,256",,"52,359","4,588,942","31,955"
34,Czechia,"4,642,003",+8,"42,800","4,598,363",840
35,Peru,"4,505,466",,"220,526","4,284,940",0
36,Switzerland,"4,405,433",,"14,452","4,387,986","2,995"
37,Philippines,"4,139,295","+1,855","66,466","4,056,827","16,002"
38,South Africa,"4,076,463",,"102,595","3,912,506","61,362"
39,Romania,"3,402,356",,"68,172","3,329,193","4,991"
40,Denmark,"3,181,827",+19,"8,692","3,172,644",491
41,Hong Kong,"2,903,894",+471,"13,809","2,874,238","15,847"
42,Sweden,"2,709,830",,"24,353","2,682,514","2,963"
43,Serbia,"2,541,248",,"18,051","2,519,529","3,668"
44,Iraq,"2,465,545",,"25,375","2,439,497",673
45,Singapore,"2,391,248",,"1,727","2,149,583","239,938"
46,New Zealand,"2,362,225",,"4,346","2,346,101","11,778"
47,Hungary,"2,202,716",,"48,868","2,151,299","2,549"
48,Bangladesh,"2,038,708",,"29,446","1,998,448","10,814"
49,Slovakia,"1,866,814",,"21,167","1,845,480",167
50,Georgia,"1,842,046",,"17,070","1,776,548","48,428"
51,Jordan,"1,746,997",,"14,122","1,731,007","1,868"
52,Ireland,"1,712,113",,"8,960","1,701,342","1,811"
53,Pakistan,"1,580,995",,"30,660","1,538,689","11,646"
54,Norway,"1,484,448",,"5,435","1,478,019",994
55,Finland,"1,479,608",,"9,676","1,465,886","4,046"
56,Kazakhstan,"1,411,831",,"13,848","1,383,020","14,963"
57,Slovenia,"1,343,954",+11,"7,100","1,328,006","8,848"
58,Lithuania,"1,320,307",+8,"9,680","1,309,308","1,319"
59,Bulgaria,"1,307,251",,"38,379","1,266,932","1,940"
60,Morocco,"1,274,180",,"16,297","1,256,151","1,732"
61,Croatia,"1,273,671",,"18,246","1,255,129",296
62,Guatemala,"1,252,138",,"20,200","1,229,793","2,145"
63,Lebanon,"1,237,556",,"10,914","1,087,587","139,055"
64,Costa Rica,"1,230,552",,"9,366","860,711","360,475"
65,Bolivia,"1,198,858",,"22,384","1,168,071","8,403"
66,Tunisia,"1,153,261",,"29,415",N/A,N/A
67,Cuba,"1,114,090",,"8,530","1,105,352",208
68,UAE,"1,067,030",,"2,349","1,054,525","10,156"
69,Ecuador,"1,061,766",,"36,019","1,025,081",666
70,Uruguay,"1,038,774",,"7,634","1,030,944",196
71,Panama,"1,038,642",,"8,623","1,029,434",585
72,Mongolia,"1,008,655",,"2,179","1,005,859",617
73,Nepal,"1,003,327",+2,"12,031","991,263",33
74,Belarus,"994,037",,"7,118","985,592","1,327"
75,Latvia,"977,891",,"6,344","971,406",141
76,Saudi Arabia,"841,469",,"9,646","827,923","3,900"
77,Azerbaijan,"831,812",,"10,273","821,451",88
78,Paraguay,"810,581",,"19,931",N/A,N/A
79,Bahrain,"721,710",,"1,563","719,938",209
80,Sri Lanka,"672,430",,"16,870","655,505",55
81,Kuwait,"665,909",,"2,570","660,237","3,102"
82,Dominican Republic,"661,176",,"4,384","644,785","12,007"
83,Cyprus,"660,854",,"1,364","659,490",0
84,Myanmar,"638,564",,"19,494","617,547","1,523"
85,Palestine,"621,008",,"5,404","615,445",159
86,Moldova,"620,519",,"12,118","504,142","104,259"
87,Estonia,"618,782",,"3,001","524,990","90,791"
88,Venezuela,"552,695",,"5,856","546,537",302
89,Egypt,"516,023",,"24,613","442,182","49,228"
90,Qatar,"512,936",,690,"511,587",659
91,Libya,"507,262",,"6,437","500,818",7
92,Ethiopia,"500,890",,"7,574","488,120","5,196"
93,Réunion,"486,588",,921,"418,572","67,095"
94,Honduras,"472,619",,"11,116",N/A,N/A
95,Armenia,"449,169",,"8,750","435,162","5,257"
96,Bosnia and Herzegovina,"402,940",,"16,346","379,084","7,510"
97,Oman,"399,449",,"4,628","384,669","10,152"
98,North Macedonia,"348,281",,"9,677","337,068","1,536"
99,Zambia,"343,995",,"4,058","339,858",79
100,Kenya,"343,074",,"5,688","337,309",77
101,Albania,"334,726",,"3,602","329,428","1,696"
102,Botswana,"329,862",,"2,801","327,049",12
103,Luxembourg,"319,959",,"1,232","316,690","2,037"
104,Brunei ,"303,719",,225,"243,601","59,893"
105,Montenegro,"291,853",,"2,827","288,546",480
106,Algeria,"271,835",,"6,881","183,045","81,909"
107,Nigeria,"266,675",,"3,155","259,953","3,567"
108,Zimbabwe,"264,848",,"5,690","258,888",270
109,Uzbekistan,"253,662",,"1,637","241,486","10,539"
110,Mozambique,"233,417",,"2,243","228,805","2,369"
111,Martinique,"229,975",,"1,102",N/A,N/A
112,Afghanistan,"221,288",+127,"7,914","197,043","16,331"
113,Laos,"218,225",,758,N/A,N/A
114,Iceland,"209,191",,229,N/A,N/A
115,Kyrgyzstan,"206,890",,"2,991","196,406","7,493"
116,Guadeloupe,"202,836",,"1,017",N/A,N/A
117,El Salvador,"201,785",,"4,230","179,410","18,145"
118,Trinidad and Tobago,"191,496",,"4,390","187,078",28
119,Maldives,"186,625",,315,"163,687","22,623"
120,Ghana,"171,657",,"1,462","170,161",34
121,Namibia,"171,310",,"4,091","167,099",120
122,Uganda,"170,775",,"3,632","100,431","66,712"
123,Jamaica,"154,993",,"3,549","102,964","48,480"
124,Cambodia,"138,767",+1,"3,056","135,683",28
125,Rwanda,"133,194",,"1,468","131,647",79
126,Cameroon,"125,036",,"1,972","122,807",257
127,Malta,"118,677",,836,"117,305",536
128,Barbados,"107,794",,593,"106,971",230
129,Angola,"105,384",,"1,934","103,419",31
130,Channel Islands,"101,717",,228,"101,321",168
131,French Guiana,"98,041",,420,"11,254","86,367"
132,DRC,"96,652",,"1,467","84,489","10,696"
133,Senegal,"88,997",,"1,971","87,024",2
134,Malawi,"88,728",,"2,686","85,651",391
135,Ivory Coast,"88,330",,834,"87,492",4
136,Suriname,"82,513",,"1,405",N/A,N/A
137,New Caledonia,"79,922",,314,"79,605",3
138,French Polynesia,"78,569",,649,N/A,N/A
139,Eswatini,"74,670",,"1,425","73,116",129
140,Guyana,"73,207",,"1,298","71,880",29
141,Belize,"70,782",,688,"70,085",9
142,Fiji,"68,921",,883,"67,029","1,009"
143,Madagascar,"68,281",,"1,424","66,846",11
144,Sudan,"63,993",,"5,046","58,683",264
145,Cabo Verde,"63,908",,414,"63,357",137
146,Mauritania,"63,715",,997,"62,471",247
147,Bhutan,"62,670",,21,"61,564","1,085"
148,Syria,"57,608",,"3,164","54,370",74
149,Burundi,"53,751",,38,"53,569",144
150,Seychelles,"50,937",,172,"50,750",15
151,Gabon,"48,992",,307,"48,674",11
152,Andorra,"48,015",,165,"47,563",287
153,Papua New Guinea,"46,864",,670,"43,982","2,212"
154,Curaçao,"45,986",,295,"44,720",971
155,Aruba,"44,180",,236,"42,438","1,506"
156,Tanzania,"43,078",,846,N/A,N/A
157,Mauritius,"42,518",,"1,049","40,740",729
158,Mayotte,"42,027",,188,N/A,N/A
159,Togo,"39,497",,290,"39,203",4
160,Guinea,"38,563",,468,"37,757",338
161,Bahamas,"38,084",,844,"36,366",874
162,Isle of Man,"38,008",,116,N/A,N/A
163,Lesotho,"34,790",,723,"25,980","8,087"
164,Faeroe Islands,"34,658",,28,N/A,N/A
165,Haiti,"34,246",,860,"33,361",25
166,Mali,"33,148",,743,"32,331",74
167,Cayman Islands,"31,472",,37,"8,553","22,882"
168,Saint Lucia,"30,052",,409,"29,095",548
169,Benin,"28,014",,163,"27,847",4
170,Somalia,"27,334",,"1,361","13,182","12,791"
171,Micronesia,"26,458",,65,N/A,N/A
172,Congo,"25,375",,386,"24,006",983
173,Solomon Islands,"24,575",,153,N/A,N/A
174,San Marino,"24,263",,125,"24,117",21
175,Timor-Leste,"23,444",,138,"23,102",204
176,Burkina Faso,"22,056",,396,"21,596",64
177,Liechtenstein,"21,446",,94,"21,350",2
178,Gibraltar,"20,550",,113,"16,579","3,858"
179,Grenada,"19,693",,238,"19,358",97
180,Bermuda,"18,860",,165,"18,685",10
181,Nicaragua,"18,491",,225,"4,225","14,041"
182,South Sudan,"18,368",,138,"18,115",115
183,Tajikistan,"17,786",,125,"17,264",397
184,Equatorial Guinea,"17,229",,183,"16,907",139
185,Tonga,"16,817",,13,"15,638","1,166"
186,Monaco,"16,789",,67,"15,992",730
187,Samoa,"16,763",,31,"1,605","15,127"
188,Marshall Islands,"16,081",,17,"15,954",110
189,Dominica,"15,760",,74,"15,673",13
190,Djibouti,"15,690",,189,"15,427",74
191,CAR,"15,368",,113,"15,200",55
192,Gambia,"12,626",,372,"12,189",65
193,Saint Martin,"12,303",,63,"1,399","10,841"
194,Vanuatu,"12,016",,14,"11,976",26
195,Greenland,"11,971",,21,"2,761","9,189"
196,Yemen,"11,945",,"2,159","9,124",662
197,Caribbean Netherlands,"11,682",,38,"10,476","1,168"
198,Sint Maarten,"11,030",,92,"10,905",33
199,Eritrea,"10,189",,103,"10,086",0
200,Niger,"9,931",,312,"8,890",729
201,St. Vincent Grenadines,"9,631",,124,"9,493",14
202,Guinea-Bissau,"9,614",,177,"8,929",508
203,Comoros,"9,109",,161,"8,939",9
204,Antigua and Barbuda,"9,106",,146,"8,954",6
205,Liberia,"8,090",,295,"7,783",12
206,Sierra Leone,"7,762",,126,N/A,N/A
207,Chad,"7,701",,194,"4,874","2,633"
208,British Virgin Islands,"7,305",,64,N/A,N/A
209,Cook Islands,"7,120",,2,"7,106",12
210,Saint Kitts and Nevis,"6,602",,48,"6,552",2
211,Turks and Caicos,"6,588",,38,"6,529",21
212,Sao Tome and Principe,"6,586",,80,"6,500",6
213,Palau,"6,009",,9,"5,998",2
214,St. Barth,"5,494",,6,N/A,N/A
215,Nauru,"5,393",,1,"5,347",45
216,Kiribati,"5,027",,24,"2,703","2,300"
217,Anguilla,"3,904",,12,"3,879",13
218,Macao,"3,620",,121,"3,487",12
219,Wallis and Futuna,"3,508",,7,438,"3,063"
220,Saint Pierre Miquelon,"3,452",,2,"2,449","1,001"
221,Tuvalu,"2,805",,,,"2,805"
222,Saint Helena,"2,166",,,2,"2,164"
223,Falkland Islands,"1,930",,,"1,930",0
224,Montserrat,"1,403",,8,"1,376",19
225,Niue,811,,,803,8
226,Diamond Princess,712,,13,699,0
227,Vatican City,29,,,29,0
228,Western Sahara,10,,1,9,0
229,MS Zaandam,9,,2,7,0
230,Tokelau,5,,,,5
231,China,"503,302",,"5,272","379,053","118,977"
